base_currency,quote_currency,bid,ask,midpoint
ZAR,JPY,7.66742,7.67401,7.67072
ZAR,KRW,76.3831,76.5605,76.4718
ZAR,MXN,1.27854,1.27983,1.27918
ZAR,MYR,0.280035,0.280516,0.280276
ZAR,NOK,0.557847,0.558542,0.558194
ZAR,NZD,0.104832,0.104935,0.104884
ZAR,PLN,0.252596,0.252941,0.252768
ZAR,RUB,4.49821,4.50441,4.50131
ZAR,SEK,0.612418,0.613077,0.612748
ZAR,SGD,0.0932679,0.093355,0.0933114
ZAR,THB,2.21105,2.22082,2.21594
ZAR,TRY,0.414088,0.415164,0.414626
ZAR,TWD,2.08568,2.08874,2.08721
ZAR,USD,0.0674759,0.0675267,0.0675013
ZAR,ZAR,1,1,1
